k,silhouette,tot_withinss,elbow_score,selected_by_elbow,selected_by_silhouette,selected_for_analysis
2,0.05146866986684136,281.3601720393008,2.6911308232273272e-15,FALSE,FALSE,FALSE
3,0.05480310713961623,269.8654430454176,2.6911308232273272e-15,FALSE,FALSE,FALSE
4,0.06112656479526483,260.32512476811826,2.6911308232273272e-15,FALSE,FALSE,FALSE
5,0.061166757122066664,253.20890123120284,2.6911308232273272e-15,FALSE,FALSE,FALSE
6,0.06321150116100295,247.86035835362267,2.6911308232273272e-15,TRUE,TRUE,TRUE
7,0.06150057155825263,243.5325317859359,2.6911308232273272e-15,FALSE,FALSE,FALSE
8,0.06069448113997638,239.54342264034977,2.6911308232273272e-15,FALSE,FALSE,FALSE
